"REF_DATE","GEO","DGUID","Area, production and farm value of potatoes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","299.4","","","","1"
"2018","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","279.4","","","","1"
"2019","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","293.0","","","","1"
"2020","Quebec","2016A000224","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47155","6.2","293.4","","","","1"
"1990","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","220.0","","","","1"
"1991","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","180.0","","","","1"
"1992","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","239.0","","","","1"
"1993","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","205.0","","","","1"
"1994","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","225.0","","","","1"
"1995","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","212.0","","","","1"
"1996","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","200.0","","","","1"
"1997","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","200.0","","","","1"
"1998","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","180.0","","","","1"
"1999","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","185.0","","","","1"
"2000","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","190.0","","","","1"
"2001","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","185.0","","","","1"
"2002","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","167.0","","","","1"
"2003","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","205.0","","","","1"
"2004","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","202.0","","","","1"
"2005","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","174.0","","","","1"
"2006","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","209.0","","","","1"
"2007","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","143.0","","","","1"
"2008","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","220.0","","","","1"
"2009","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","215.0","","","","1"
"2010","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","215.0","","","","1"
"2011","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","175.0","","","","1"
"2012","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","190.0","","","","1"
"2013","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","225.0","","","","1"
"2014","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","235.0","","","","1"
"2015","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","230.0","","","","1"
"2016","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","190.0","","","","1"
"2017","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","225.0","","","","1"
"2018","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","205.0","","","","1"
"2019","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","200.0","","","","1"
"2020","Ontario","2016A000235","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47156","7.2","210.0","","","","1"
"1990","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","175.0","","","","1"
"1991","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","190.0","","","","1"
"1992","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","240.0","","","","1"
"1993","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","205.0","","","","1"
"1994","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","280.0","","","","1"
"1995","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","205.0","","","","1"
"1996","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","245.0","","","","1"
"1997","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","230.0","","","","1"
"1998","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","235.0","","","","1"
"1999","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","225.0","","","","1"
"2000","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","250.0","","","","1"
"2001","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","234.0","","","","1"
"2002","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","220.0","","","","1"
"2003","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","245.0","","","","1"
"2004","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","245.0","","","","1"
"2005","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","210.0","","","","1"
"2006","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","270.0","","","","1"
"2007","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","280.0","","","","1"
"2008","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","280.0","","","","1"
"2009","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","280.0","","","","1"
"2010","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","280.0","","","","1"
"2011","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","250.0","","","","1"
"2012","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","275.0","","","","1"
"2013","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","310.0","","","","1"
"2014","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","308.1","","","","1"
"2015","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","322.8","","","","1"
"2016","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","350.0","","","","1"
"2017","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","353.5","","","","1"
"2018","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","345.2","","","","1"
"2019","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","345.6","","","","1"
"2020","Manitoba","2016A000246","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47157","8.2","337.1","","","","1"
"1990","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","203.1","","","","1"
"1991","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","180.0","","","","1"
"1992","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","235.0","","","","1"
"1993","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","215.0","","","","1"
"1994","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","265.0","","","","1"
"1995","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","230.0","","","","1"
"1996","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","230.0","","","","1"
"1997","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","245.1","","","","1"
"1998","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","265.0","","","","1"
"1999","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","250.0","","","","1"
"2000","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","265.0","","","","1"
"2001","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","245.0","","","","1"
"2002","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","285.0","","","","1"
"2003","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","315.0","","","","1"
"2004","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","280.0","","","","1"
"2005","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","265.0","","","","1"
"2006","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","270.0","","","","1"
"2007","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","245.0","","","","1"
"2008","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","275.0","","","","1"
"2009","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","290.0","","","","1"
"2010","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","255.0","","","","1"
"2011","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","280.0","","","","1"
"2012","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","250.0","","","","1"
"2013","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","275.0","","","","1"
"2014","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","245.0","","","","1"
"2015","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","250.0","","","","1"
"2016","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","250.0","","","","1"
"2017","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","250.0","","","","1"
"2018","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","246.5","","","","1"
"2019","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","250.0","","","","1"
"2020","Saskatchewan","2016A000247","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47158","9.2","233.3","","","","1"
"1990","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","240.0","","","","1"
"1991","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","220.0","","","","1"
"1992","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","230.0","","","","1"
"1993","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","269.0","","","","1"
"1994","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","277.8","","","","1"
"1995","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","297.7","","","","1"
"1996","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","268.0","","","","1"
"1997","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","290.0","","","","1"
"1998","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","295.0","","","","1"
"1999","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","290.0","","","","1"
"2000","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","310.0","","","","1"
"2001","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","315.0","","","","1"
"2002","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","280.0","","","","1"
"2003","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","330.0","","","","1"
"2004","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","350.0","","","","1"
"2005","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","344.0","","","","1"
"2006","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","342.0","","","","1"
"2007","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","341.0","","","","1"
"2008","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","336.0","","","","1"
"2009","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","322.0","","","","1"
"2010","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","314.0","","","","1"
"2011","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","328.0","","","","1"
"2012","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","341.8","","","","1"
"2013","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","357.0","","","","1"
"2014","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","361.2","","","","1"
"2015","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","384.3","","","","1"
"2016","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","383.5","","","","1"
"2017","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","402.7","","","","1"
"2018","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","407.6","","","","1"
"2019","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","382.0","","","","1"
"2020","Alberta","2016A000248","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47159","10.2","404.0","","","","1"
"1990","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","220.0","","","","1"
"1991","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","284.9","","","","1"
"1992","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","295.1","","","","1"
"1993","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","255.0","","","","1"
"1994","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","280.0","","","","1"
"1995","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","305.0","","","","1"
"1996","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","240.0","","","","1"
"1997","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","225.0","","","","1"
"1998","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","240.0","","","","1"
"1999","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","260.0","","","","1"
"2000","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","260.0","","","","1"
"2001","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","280.0","","","","1"
"2002","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","290.0","","","","1"
"2003","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","295.0","","","","1"
"2004","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","290.0","","","","1"
"2005","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","275.0","","","","1"
"2006","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","280.0","","","","1"
"2007","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","300.0","","","","1"
"2008","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","310.0","","","","1"
"2009","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","290.0","","","","1"
"2010","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","300.0","","","","1"
"2011","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","275.0","","","","1"
"2012","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","275.0","","","","1"
"2013","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","280.0","","","","1"
"2014","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","269.5","","","","1"
"2015","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","274.0","","","","1"
"2016","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","315.0","","","","1"
"2017","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","285.0","","","","1"
"2018","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","318.2","","","","1"
"2019","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","325.0","","","","1"
"2020","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","331.5","","","","1"


