REF_DATE,GEO,DGUID,"Area, production and farm value of potatoes",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,KG_HA,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,Quebec,2016A000224,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47155,6.2,299.4,33951.39114,,,,1
2018,Quebec,2016A000224,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47155,6.2,279.4,31683.42914,,,,1
2019,Quebec,2016A000224,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47155,6.2,293,33225.6433,,,,1
2020,Quebec,2016A000224,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47155,6.2,293.4,33271.00254,,,,1
1990,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,220,24947.582,,,,1
1991,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,180,20411.658,,,,1
1992,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,239,27102.1459,,,,1
1993,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,205,23246.6105,,,,1
1994,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,225,25514.5725,,,,1
1995,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,212,24040.3972,,,,1
1996,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,200,22679.62,,,,1
1997,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,200,22679.62,,,,1
1998,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,180,20411.658,,,,1
1999,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,185,20978.6485,,,,1
2000,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,190,21545.639,,,,1
2001,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,185,20978.6485,,,,1
2002,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,167,18937.4827,,,,1
2003,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,205,23246.6105,,,,1
2004,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,202,22906.4162,,,,1
2005,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,174,19731.2694,,,,1
2006,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,209,23700.2029,,,,1
2007,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,143,16215.9283,,,,1
2008,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,220,24947.582,,,,1
2009,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,215,24380.5915,,,,1
2010,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,215,24380.5915,,,,1
2011,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,175,19844.6675,,,,1
2012,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,190,21545.639,,,,1
2013,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,225,25514.5725,,,,1
2014,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,235,26648.5535,,,,1
2015,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,230,26081.563,,,,1
2016,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,190,21545.639,,,,1
2017,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,225,25514.5725,,,,1
2018,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,205,23246.6105,,,,1
2019,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,200,22679.62,,,,1
2020,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47156,7.2,210,23813.601,,,,1
1990,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,175,19844.6675,,,,1
1991,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,190,21545.639,,,,1
1992,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,240,27215.544,,,,1
1993,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,205,23246.6105,,,,1
1994,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,280,31751.468,,,,1
1995,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,205,23246.6105,,,,1
1996,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,245,27782.5345,,,,1
1997,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,230,26081.563,,,,1
1998,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,235,26648.5535,,,,1
1999,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,225,25514.5725,,,,1
2000,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,250,28349.525,,,,1
2001,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,234,26535.1554,,,,1
2002,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,220,24947.582,,,,1
2003,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,245,27782.5345,,,,1
2004,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,245,27782.5345,,,,1
2005,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,210,23813.601,,,,1
2006,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,270,30617.487,,,,1
2007,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,280,31751.468,,,,1
2008,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,280,31751.468,,,,1
2009,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,280,31751.468,,,,1
2010,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,280,31751.468,,,,1
2011,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,250,28349.525,,,,1
2012,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,275,31184.4775,,,,1
2013,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,310,35153.411,,,,1
2014,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,308.1,34937.95461,,,,1
2015,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,322.8,36604.90668,,,,1
2016,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,350,39689.335,,,,1
2017,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,353.5,40086.22835,,,,1
2018,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,345.2,39145.02412,,,,1
2019,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,345.6,39190.38336,,,,1
2020,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47157,8.2,337.1,38226.49951,,,,1
1990,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,203.1,23031.15411,,,,1
1991,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,180,20411.658,,,,1
1992,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,235,26648.5535,,,,1
1993,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,215,24380.5915,,,,1
1994,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,265,30050.4965,,,,1
1995,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,230,26081.563,,,,1
1996,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,230,26081.563,,,,1
1997,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,245.1,27793.87431,,,,1
1998,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,265,30050.4965,,,,1
1999,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,250,28349.525,,,,1
2000,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,265,30050.4965,,,,1
2001,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,245,27782.5345,,,,1
2002,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,285,32318.4585,,,,1
2003,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,315,35720.4015,,,,1
2004,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,280,31751.468,,,,1
2005,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,265,30050.4965,,,,1
2006,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,270,30617.487,,,,1
2007,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,245,27782.5345,,,,1
2008,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,275,31184.4775,,,,1
2009,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,290,32885.449,,,,1
2010,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,255,28916.5155,,,,1
2011,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,280,31751.468,,,,1
2012,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,250,28349.525,,,,1
2013,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,275,31184.4775,,,,1
2014,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,245,27782.5345,,,,1
2015,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,250,28349.525,,,,1
2016,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,250,28349.525,,,,1
2017,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,250,28349.525,,,,1
2018,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,246.5,27952.63165,,,,1
2019,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,250,28349.525,,,,1
2020,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47158,9.2,233.3,26455.77673,,,,1
1990,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,240,27215.544,,,,1
1991,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,220,24947.582,,,,1
1992,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,230,26081.563,,,,1
1993,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,269,30504.0889,,,,1
1994,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,277.8,31501.99218,,,,1
1995,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,297.7,33758.61437,,,,1
1996,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,268,30390.6908,,,,1
1997,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,290,32885.449,,,,1
1998,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,295,33452.4395,,,,1
1999,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,290,32885.449,,,,1
2000,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,310,35153.411,,,,1
2001,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,315,35720.4015,,,,1
2002,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,280,31751.468,,,,1
2003,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,330,37421.373,,,,1
2004,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,350,39689.335,,,,1
2005,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,344,39008.9464,,,,1
2006,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,342,38782.1502,,,,1
2007,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,341,38668.7521,,,,1
2008,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,336,38101.7616,,,,1
2009,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,322,36514.1882,,,,1
2010,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,314,35607.0034,,,,1
2011,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,328,37194.5768,,,,1
2012,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,341.8,38759.47058,,,,1
2013,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,357,40483.1217,,,,1
2014,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,361.2,40959.39372,,,,1
2015,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,384.3,43578.88983,,,,1
2016,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,383.5,43488.17135,,,,1
2017,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,402.7,45665.41487,,,,1
2018,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,407.6,46221.06556,,,,1
2019,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,382,43318.0742,,,,1
2020,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47159,10.2,404,45812.8324,,,,1
1990,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,220,24947.582,,,,1
1991,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,284.9,32307.11869,,,,1
1992,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,295.1,33463.77931,,,,1
1993,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,255,28916.5155,,,,1
1994,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,280,31751.468,,,,1
1995,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,305,34586.4205,,,,1
1996,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,240,27215.544,,,,1
1997,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,225,25514.5725,,,,1
1998,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,240,27215.544,,,,1
1999,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,260,29483.506,,,,1
2000,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,260,29483.506,,,,1
2001,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,280,31751.468,,,,1
2002,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,290,32885.449,,,,1
2003,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,295,33452.4395,,,,1
2004,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,290,32885.449,,,,1
2005,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,275,31184.4775,,,,1
2006,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,280,31751.468,,,,1
2007,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,300,34019.43,,,,1
2008,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,310,35153.411,,,,1
2009,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,290,32885.449,,,,1
2010,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,300,34019.43,,,,1
2011,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,275,31184.4775,,,,1
2012,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,275,31184.4775,,,,1
2013,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,280,31751.468,,,,1
2014,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,269.5,30560.78795,,,,1
2015,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,274,31071.0794,,,,1
2016,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,315,35720.4015,,,,1
2017,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,285,32318.4585,,,,1
2018,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,318.2,36083.27542,,,,1
2019,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,325,36854.3825,,,,1
2020,British Columbia,2016A000259,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47160,11.2,331.5,37591.47015,,,,1
